File,Operator,1st Choice School,Grade,N,N Hartford,N Suburban,School,Column
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Great Path Academy,11,19,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Great Path Academy,12,11,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,HMTCA,6,229,132,97,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,HMTCA,7,104,62,42,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,HMTCA,8,62,37,25,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,HMTCA,9,179,118,61,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,HMTCA,10,39,24,15,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,HMTCA,11,35,26,9,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,HMTCA,12,9,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,HMTCA,6,25,7,18,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,HMTCA,7,10,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,HMTCA,8,,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Hartford PreKindergarten Magnet,PK3,144,65,79,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Hartford PreKindergarten Magnet,PK4,76,35,41,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Montessori Magnet at Moylan,PK3,63,27,36,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Montessori Magnet at Moylan,PK4,28,17,11,,
