file,grade,n_apps,n_apps_hartford,n_apps_suburban,n_offers,n_offers_hartford,n_offers_suburban,operator,school
apps,12,,,,,,,HPS,R.J. Kinsella Magnet School of the Performing Arts
apps,6,141.0,78,63.0,,,,HPS,Sport and Medical Sciences Academy
apps,7,57.0,18,39.0,,,,HPS,Sport and Medical Sciences Academy
apps,8,79.0,28,51.0,,,,HPS,Sport and Medical Sciences Academy
apps,9,194.0,123,71.0,,,,HPS,Sport and Medical Sciences Academy
apps,10,43.0,23,20.0,,,,HPS,Sport and Medical Sciences Academy
apps,11,33.0,19,14.0,,,,HPS,Sport and Medical Sciences Academy
apps,12,,,,,,,HPS,Sport and Medical Sciences Academy
apps,K,101.0,38,63.0,,,,HPS,STEM Magnet at Annie Fisher
apps,1,53.0,10,43.0,,,,HPS,STEM Magnet at Annie Fisher
apps,2,43.0,8,35.0,,,,HPS,STEM Magnet at Annie Fisher
apps,3,39.0,10,29.0,,,,HPS,STEM Magnet at Annie Fisher
apps,4,34.0,13,21.0,,,,HPS,STEM Magnet at Annie Fisher
apps,5,34.0,12,22.0,,,,HPS,STEM Magnet at Annie Fisher
apps,6,21.0,7,14.0,,,,HPS,STEM Magnet at Annie Fisher
apps,7,10.0,,,,,,HPS,STEM Magnet at Annie Fisher
apps,8,7.0,,,,,,HPS,STEM Magnet at Annie Fisher
apps,9,200.0,97,103.0,,,,HPS,University High School of Science and Engineering
apps,10,39.0,15,24.0,,,,HPS,University High School of Science and Engineering
apps,11,31.0,10,21.0,,,,HPS,University High School of Science and Engineering
apps,12,,,,,,,HPS,University High School of Science and Engineering
offers,6,,,,72,20,52,BPS,Global Experience Magnet
offers,7,,,,9,,9,BPS,Global Experience Magnet
offers,8,,,,11,,11,BPS,Global Experience Magnet
offers,9,,,,25,11,14,BPS,Global Experience Magnet
offers,10,,,,11,,11,BPS,Global Experience Magnet
offers,11,,,,,,,BPS,Global Experience Magnet
offers,12,,,,,,,BPS,Global Experience Magnet
offers,PK3,,,,149,33,116,BPS,Wintonbury Early Childhood Magnet
offers,PK4,,,,9,,,BPS,Wintonbury Early Childhood Magnet
offers,K,,,,8,,,BPS,Wintonbury Early Childhood Magnet
offers,6,,,,125,61,64,CREC,Academy of Aerospace and Engineering Elementary
offers,7,,,,17,8,9,CREC,Academy of Aerospace and Engineering Elementary
offers,8,,,,,,,CREC,Academy of Aerospace and Engineering Elementary
offers,9,,,,18,10,8,CREC,Academy of Aerospace and Engineering Elementary
offers,10,,,,6,,,CREC,Academy of Aerospace and Engineering Elementary
offers,12,,,,,,,CREC,Academy of Aerospace and Engineering Elementary
offers,PK3,,,,38,17,21,CREC,Academy of Aerospace and Engineering Elementary
offers,PK4,,,,,,,CREC,Academy of Aerospace and Engineering Elementary
offers,K,,,,18,,,CREC,Academy of Aerospace and Engineering Elementary
offers,1,,,,8,,,CREC,Academy of Aerospace and Engineering Elementary
offers,2,,,,,,,CREC,Academy of Aerospace and Engineering Elementary
offers,3,,,,7,,,CREC,Academy of Aerospace and Engineering Elementary
offers,4,,,,9,,,CREC,Academy of Aerospace and Engineering Elementary
offers,6,,,,78,19,59,CREC,Academy of Science and Innovation
offers,7,,,,23,,,CREC,Academy of Science and Innovation
offers,8,,,,30,,,CREC,Academy of Science and Innovation
offers,9,,,,27,,,CREC,Academy of Science and Innovation
offers,10,,,,,,,CREC,Academy of Science and Innovation
offers,11,,,,,,,CREC,Academy of Science and Innovation
offers,12,,,,,,,CREC,Academy of Science and Innovation
offers,PK3,,,,49,25,24,CREC,Ana Grace Academy of the Arts Elementary
offers,PK4,,,,,,,CREC,Ana Grace Academy of the Arts Elementary
offers,K,,,,65,26,39,CREC,Ana Grace Academy of the Arts Elementary
offers,1,,,,16,9,7,CREC,Ana Grace Academy of the Arts Elementary
offers,2,,,,22,14,8,CREC,Ana Grace Academy of the Arts Elementary
offers,3,,,,25,13,12,CREC,Ana Grace Academy of the Arts Elementary
offers,4,,,,8,,,CREC,Ana Grace Academy of the Arts Elementary
offers,5,,,,,,,CREC,Ana Grace Academy of the Arts Elementary
offers,PK3,,,,60,34,26,CREC,Discovery Academy
offers,PK4,,,,6,,,CREC,Discovery Academy
offers,K,,,,16,7,9,CREC,Discovery Academy
offers,1,,,,,,,CREC,Discovery Academy
offers,2,,,,,,,CREC,Discovery Academy
offers,3,,,,6,,,CREC,Discovery Academy
offers,4,,,,,,,CREC,Discovery Academy
offers,5,,,,,,,CREC,Discovery Academy
offers,PK3,,,,27,10,17,CREC,Glastonbury-East Hartford Magnet
offers,PK4,,,,11,,,CREC,Glastonbury-East Hartford Magnet
offers,K,,,,53,20,33,CREC,Glastonbury-East Hartford Magnet
offers,1,,,,14,7,7,CREC,Glastonbury-East Hartford Magnet
offers,2,,,,13,,,CREC,Glastonbury-East Hartford Magnet
offers,3,,,,17,7,IO,CREC,Glastonbury-East Hartford Magnet
offers,4,,,,9,,,CREC,Glastonbury-East Hartford Magnet
offers,5,,,,,,,CREC,Glastonbury-East Hartford Magnet
offers,6,,,,151,75,76,CREC,GHAA I Middle
offers,7,,,,11,,,CREC,GHAA I Middle
offers,8,,,,16,9,7,CREC,GHAA I Middle
offers,9,,,,72,37,35,CREC,GHAA [Full-Day]
offers,10,,,,28,14,14,CREC,GHAA [Full-Day]
offers,11,,,,11,,,CREC,GHAA [Full-Day]
offers,12,,,,,,,CREC,GHAA [Full-Day]
offers,9,,,,180,31,149,CREC,GHAA [Half-Day]
offers,10,,,,60,12,48,CREC,GHAA [Half-Day]
offers,11,,,,51,11,40,CREC,GHAA [Half-Day]
offers,12,,,,21,,,CREC,GHAA [Half-Day]
offers,PK3,,,,56,28,28,CREC,International Magnet School for Global Citizenship
offers,PK4,,,,,,,CREC,International Magnet School for Global Citizenship
offers,K,,,,41,20,21,CREC,International Magnet School for Global Citizenship
offers,1,,,,28,12,16,CREC,International Magnet School for Global Citizenship
offers,2,,,,16,,,CREC,International Magnet School for Global Citizenship
offers,3,,,,28,16,12,CREC,International Magnet School for Global Citizenship
offers,4,,,,22,15,7,CREC,International Magnet School for Global Citizenship
offers,5,,,,12,,,CREC,International Magnet School for Global Citizenship
offers,6,,,,118,34,84,CREC,MLC Magnet for Global and International Studies
offers,7,,,,16,,,CREC,MLC Magnet for Global and International Studies
offers,8,,,,11,,,CREC,MLC Magnet for Global and International Studies
offers,9,,,,15,,15,CREC,MLC Magnet for Global and International Studies
offers,10,,,,15,,,CREC,MLC Magnet for Global and International Studies
offers,11,,,,,,,CREC,MLC Magnet for Global and International Studies
offers,PK3,,,,65,40,25,CREC,Montessori Magnet (CREC)
